ID	Question	DBpedia	MusicBrainz	Wikidata	YAGO	LinkedMDB
312	What country is Sitecore from?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Sitecore dbo:foundationPlace ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q2663195 wdt:P17 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Sitecore res:linksTo ?uri .?uri a res:wikicat_Countries .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
313	Give me the birth place of Frank Sinatra.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Frank_Sinatra dbo:birthPlace ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q40912 wdt:P19 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Frank_Sinatra res:wasBornIn ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
315	Who is the son of Sonny and Cher?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { ?uri dbo:parent res:Cher ; dbo:parent res:Sonny_Bono; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P25 wd:Q12003 . ?item wdt:P22 wd:Q179150 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE {     yago:Cher yago:hasChild ?uri.    yago:Sonny_Bono yago:hasChild ?uri.    ?uri rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
317	What is the capital of Cameroon?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Cameroon dbo:capital ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q1009 wdt:P36 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Cameroon res:hasCapital ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
320	Who is the oldest child of Meryl Streep?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Meryl_Streep dbo:child ?uri . ?uri dbo:birthDate ?d; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY ASC(?d) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q873 wdt:P40 ?item . ?item wdt:P569 ?d . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY ASC(?d) OFFSET 0 LIMIT 1	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Meryl_Strees res:hasChildren ?uri .?uri res:wasBornOnDate ?d .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} GROUP BY ?label ORDER BY ASC(?d) OFFSET 0 LIMIT 1	X
321	Which television shows were created by Walt Disney?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:TelevisionShow ; dbo:creator res:Walt_Disney; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q15416 . ?item wdt:P170 wd:Q7414 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {?uri a res:wikicat_Disney_Channel_shows .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?uri a lmdbm:film.?uri lmdbm:producer <http://data.linkedmdb.org/resource/producer/9778> . ?uri rdfs:label ?label.} 
322	What does IYCM stand for?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { ?uri dbo:abbreviation "IYCM"; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P1813 "IYCM"@en SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
323	Which types of grapes grow in Oregon?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Oregon_wine dbo:growingGrape ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	X	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {?uri a res:wikicat_Disney_Channel_shows .res:Walt_Disney res:created ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
328	Which scientist is known for the Manhattan Project and the Nobel Peace Prize?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri dbo:knownFor res:Manhattan_Project ; rdf:type dbo:Scientist ; dbo:knownFor res:Nobel_Peace_Prize; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P1344 wd:Q127050 . ?item wdt:P3188 ?nobel . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
330	Who composed the music for Harold and Maude?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Harold_and_Maude dbo:musicComposer ?uri. ?label rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q368577 wdt:P86 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
332	Which city has the least inhabitants?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:City ; dbo:populationTotal ?pop; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )  } GROUP BY ?label ORDER BY ASC(?pop) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q515; wdt:P1082 ?pop . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY ASC(?pop) OFFSET 0 LIMIT 1	PREFIX res: <http://yago-knowledge.org/resource/>  SELECT ?label WHERE { ?s res:hasCapital ?cap. ?cap res:hasNumberOfPeople ?pop. ?cap rdfs:label ?label } GROUP BY ?label ORDER BY ASC(?pop) LIMIT 10 	X
333	Where is Syngman Rhee buried?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Syngman_Rhee dbo:restingPlace ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel ?property WHERE { wd:Q171684 wdt:P119 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
335	Who wrote the book The Pillars of the Earth?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q1163227 wdt:P50 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label  WHERE {     ?uri yago:created yago:The_Pillars_of_the_Earth;           rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" )     }	X
337	Who was the doctoral supervisor of Albert Einstein?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Albert_Einstein dbo:doctoralAdvisor ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q937 wdt:P184 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Albert_Einstein res:hasAcademicAdvisor ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
339	Who was Vincent van Gogh inspired by?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { ?uri dbo:influenced res:Vincent_van_Gogh; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q5582 wdt:P941 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {?uri res:influences res:Vincent_van_Gogh .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
340	Which building after the Burj Khalifa has the most floors?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { res:Burj_Khalifa dbo:floorCount ?burj . ?uri rdf:type dbo:Building ; dbo:floorCount ?proj FILTER ( ?proj < ?burj ). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?proj) LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q12495 wdt:P1101 ?burj . ?item wdt:P1101 ?proj . FILTER ( ?proj < ?burj ) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?proj) LIMIT 1	X	X
345	Who is starring in Spanish movies produced by Benicio del Toro?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?film rdf:type dbo:Film ; dbo:country res:Spain ; dbo:producer res:Benicio_del_Toro ; dbo:starring ?uri . ?uri rdf:type dbo:Person; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?movie wdt:P162 wd:Q193668 . ?movie wdt:P495 wd:Q29 . ?movie wdt:P161 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?f a lmdbm:film.?f lmdbm:producer <http://data.linkedmdb.org/resource/producer/10215> .?f lmdbm:actor ?uri. ?uri rdfs:label ?label.} 
347	Show me all books in Asimov's Foundation series.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { ?uri dbo:series res:Foundation_series; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P179 wd:Q1564644 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
348	Where was Bach born?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Johann_Sebastian_Bach dbo:birthPlace ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q1339 wdt:P19 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Johann_Sebastian_Bach res:wasBornIn ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
349	Which city has the oldest running metro?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?label WHERE { ?uri dbo:type dbr:Rapid_transit ; dbo:openingYear ?date ; dbo:location ?loc . ?loc rdf:type dbo:City; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY ASC(?date) LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q5503 . ?item wdt:P571 ?date SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY ASC(?date) LIMIT 1	X	X
350	Who designed the Brooklyn Bridge?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Brooklyn_Bridge dbo:architect ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q125006 wdt:P287 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE {     ?x yago:created yago:Brooklyn_Bridge;          rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
352	Who is the host of the BBC Wildlife Specials?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:BBC_Wildlife_Specials dbo:presenter ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )}	X	SELECT ?itemLabel WHERE { wd:Q4835015 wdt:P449 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
354	What country is Mount Everest in?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { res:Mount_Everest dbo:locatedInArea ?uri . ?uri rdf:type dbo:Country; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q513 wdt:P17 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/> SELECT ?label WHERE { res:Mount_Everest res:isLocatedIn ?area. ?area res:isLocatedIn ?label. } LIMIT 1  	X
355	To which artistic movement did the painter of The Three Dancers belong?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:The_Three_Dancers dbo:author ?person . ?person dbo:movement ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q3235867 wdt:P170/wdt:P135 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
357	What is the bridge with the longest span?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Bridge ; dbo:mainspan ?s; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?s) OFFSET 0 LIMIT 1	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q12280 . ?item wdt:P2787 ?span . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?span) LIMIT 1	X	X
359	Who was buried in the Great Pyramid of Giza?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?label WHERE { ?uri dbo:restingPlace dbr:Great_Pyramid_of_Giza; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P119 wd:Q37200 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
364	In which UK city are the headquarters of the MI6?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { res:Secret_Intelligence_Service dbo:headquarter ?uri . ?uri dbo:country res:United_Kingdom; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q184560 wdt:P159 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>  SELECT DISTINCT ?label WHERE  {   res:Secret_Intelligence_Service res:isLocatedIn ?o.  ?o rdfs:label ?label.  FILTER langMatches( lcase(lang(?label)), "eng") } LIMIT 1  	X
365	Who created Family Guy?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Family_Guy dbo:creator ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )}	X	SELECT ?itemLabel WHERE { wd:Q5930 wdt:P170 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {?uri res:created res:Family_Guy .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {<http://data.linkedmdb.org/resource/film/8966> lmdbm:producer ?uri .?uri rdfs:label ?label.} 
366	In which city does the Chile Route 68 end?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Chile_Route_68 dbo:routeEnd ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q5098656 wdt:P131 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
367	Give me the grandchildren of Elvis Presley.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Elvis_Presley dbo:child ?child . ?child dbo:child ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q303 wdt:P40 ?child . ?child wdt:P40 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE {     yago:Elvis_Presley yago:hasChild ?child.    ?child yago:hasChild ?uri.    ?uri rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
369	In which military conflicts did Lawrence of Arabia participate?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:T._E._Lawrence dbo:battle ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q170596 wdt:P607 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?label  WHERE {     ?uri a <http://yago-knowledge.org/resource/wordnet_military_action_100952963>;           rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" )    <http://yago-knowledge.org/resource/T._E._Lawrence> <http://yago-knowledge.org/resource/linksTo> ?uri.         }	X
370	What is the timezone in San Pedro de Atacama?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:San_Pedro_de_Atacama dbo:timeZone ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q187893 wdt:P421 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:San_Pedro_de_Atacama info:timezone ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
371	Give me all books by William Goldman with more than 300 pages.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Book ; dbo:author res:William_Goldman ; dbo:numberOfPages ?x FILTER ( ?x > 300 ) ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { { ?item wdt:P31* wd:Q571 } UNION { ?item wdt:P31* wd:Q7725634 } ?item wdt:P50 wd:Q506885 . ?item p:P747 ?s . ?s pq:P1104 ?sp . FILTER ( ?sp > 300 ) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE {     yago:William_Goldman yago:created ?book.    ?book a yago:wordnet_book_106410904;       yago:hasPages ?pages FILTER (?pages > 300)    ?book rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
372	What did Bruce Carver die from?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Bruce_Carver dbo:deathCause ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q4977246 wdt:P509 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
373	Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Lufthansa dbo:subsidiary ?uri . ?uri dbo:targetAirport res:Dortmund_Airport ; dbo:targetAirport res:Berlin_Tegel_Airport; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel ?portLabel WHERE { ?item wdt:P749 wd:Q9325 . ?item wdt:P113 wd:Q9688 . ?item wdt:P113 wd:Q58226 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
377	In which city does Sylvester Stallone live?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:City; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) . res:Sylvester_Stallone dbo:residence ?uri }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q40026 wdt:P551 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
378	Which books by Kerouac were published by Viking Press?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Book ; dbo:publisher res:Viking_Press ; dbo:author res:Jack_Kerouac; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P50 wd:Q160534 . ?item wdt:P123 wd:Q921536 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
379	Who wrote the song Hotel California?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Hotel_California dbo:writer ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q780394 wdt:P86 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/> SELECT ?label WHERE { ?label res:created res:Hotel_California. }  	X
